domain,page,document,size [KB]
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_34.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_36.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_64.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_71.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_37.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_38.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_40.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_42.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_43.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_47.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_41.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_61.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_62.jpg,27.235
http://lch.epfl.ch,http://lch.epfl.ch/page-55111-fr.html,https://documents.epfl.ch/groups/l/lc/lch-unit/www/images/galleries/opendays2010/image_63.jpg,27.235
